Names,Re,Re_err,Mstar,Mstar_err,SFR_tot,SFR_tot_err,MH2,MH2_err,MHI,MHI_err,Mgas,Mgas_err,Mbar,Mbar_err
GS4_15836,3.119716718529021,0.034760074858262074,37153522909.71728,3715352290.971728,58.839184,5.8839184,48416911436.78914,4557337096.202316,6196676958.896372,649807300.5013314,56658491792.121315,4638559970.305476,93812014701.8386,67753737585.17507
GS4_16776,1.9725890611652672,0.02606945895813128,11748975549.395304,1174897554.9395304,44.666145,4.4666145,18071265184.02315,1670345760.0718102,2431380988.464357,251842151.27242324,21305001898.680748,1703598104.5078132,33053977448.07605,24329848588.98795
GS4_16814,5.031352287356985,0.02606918283604656,154881661891.24796,15488166189.124794,297.71277,29.771277,180806110207.10638,17014488426.311058,21705753317.351116,2259599132.0146456,209674762119.18338,17277859972.294376,364556424010.43134,260675727792.08075
GS4_17069,1.965587826470044,0.008189949276958515,15848931924.611109,1584893192.4611108,42.06191,4.2061910000000005,19888927645.953297,1634002581.9351351,2786238755.736462,257799414.1891466,23594625191.08279,1669588716.8286471,39443557115.6939,28423493470.343082
GS4_20651,1.4973129248721262,0.017210493389334783,15488166189.124796,1548816618.9124796,55.3473,5.53473,21450140789.74101,1938408483.1385534,2918430448.928542,295945227.199032,25331653286.81597,1977967147.7925498,40819819475.940765,29691344700.861946
GS4_24110,4.907548516823255,0.00857963027416653,77624711662.86928,7762471166.286927,328.78452,32.878451999999996,113016604277.76855,10322646338.44942,13640844414.690063,1379081239.8700395,131158927349.30634,10484332908.880579,208783639012.1756,152408202155.1472
GS4_27230,2.3129439097589315,0.034650845090021434,10964781961.43183,1096478196.143183,17.232275,1.7232275000000001,15070890101.614084,1365562221.7022147,2064375154.5587096,210071599.90987128,17816509057.17717,1393851453.5998726,28781291018.609,20920192122.593353
GS4_29868,5.840959342988713,0.7184971695427507,19054607179.632442,1905460717.9632444,101.208466,10.1208466,33354625433.808453,3409832309.0768843,4221208447.152691,480144667.13277864,38968832668.52153,3469114676.494377,58023439848.15398,43377966461.29612
GS4_30274,3.6261395292643095,0.04226269847627401,158489319246.11108,15848931924.611109,335.0584,33.50584,213879957486.45474,21178637526.18604,24760530576.969048,2702067087.6982636,246811463153.82358,21481380797.554462,405300782399.9347,293316829826.0891
GS4_33103,31.862470969451063,0.14645671027837567,89125093813.3744,8912509381.33744,19.828592,1.9828592,76999981154.85664,6490188393.576433,9974470317.557611,937928306.5655386,90266026677.20827,6608983547.662217,179391120490.58267,126851243270.74316
GS4_33234,2.3993888387250215,0.02490715057500022,14125375446.227554,1412537544.6227555,23.951105,2.3951105,17358649576.132862,1484912545.5717378,2430713935.077783,234162401.19292235,20591499109.786316,1517220368.33731,34716874556.01387,24970704176.799236
GS4_33496,4.579546425951514,0.1042780969856132,16982436524.61746,1698243652.461746,30.571852,3.0571852,24480180994.343662,2324986544.4836826,3238048467.251587,343924521.3989281,28786785455.788273,2369555894.003895,45769221980.40573,33422779166.16517
GS4_35937,5.299187950538025,0.20123498546346932,48977881936.84457,4897788193.684457,41.644978,4.1644978,72259838782.91148,7306370450.7990675,8731577158.916166,977350451.2830768,83872836404.26999,7421100123.310411,132850718341.11456,97126132454.2315
GS4_37124,3.0511482462386557,0.07482379895408146,38904514499.42805,3890451449.9428043,194.55714,19.455714,65103134495.10301,6475464451.631825,7901367129.332476,870419285.826564,75611952777.1152,6578131277.140699,114516467276.54324,85033691271.195
GS4_41438,2.7421382082777757,0.042845909504340245,66069344800.75964,6606934480.075964,146.8277,14.68277,92407845652.7138,9073830044.337204,11215495244.24387,1219715341.2758934,107324454327.55815,9217700036.168343,173393799128.3178,126030539232.00432
GS4_42235,3.1425729173368984,0.09145053463149704,13803842646.028866,1380384264.6028867,57.142735,5.714273500000001,24787893876.463192,2428276446.816898,3145863846.4440355,343000203.08962524,28971892792.23376,2470756172.6540327,42775735438.26263,32092314403.311764
GS4_43501,5.083532014794383,0.05213878989532702,39810717055.34969,3981071705.5349693,53.3479,5.334790000000001,52243336495.797195,4920904849.064047,6649408435.08855,697324159.8998702,61087049714.464966,5007539474.44295,100897766769.81467,72914476170.9129
GS4_43891,6.529383668875305,0.05785529833180649,20417379446.695316,2041737944.6695316,34.1233,3.41233,25036553521.39593,2165609391.3783307,3451241953.9603715,335526559.21697223,29626705320.163223,2211109085.3869367,50044084766.858536,35980703878.580864
U4_06203,4.7941382694023424,0.054127367557768376,38904514499.42805,3890451449.9428043,11.738234,1.1738234,32222377398.93398,2620412271.3214197,4404132286.364599,402125980.2648059,38079873339.7989,2674434703.62326,76984387839.22694,54439305671.64991
U4_07799,5.435157077073637,0.09304120531367138,15848931924.611109,1584893192.4611108,5.834111,0.5834111,14807896317.137333,1174479108.113158,2112520547.3107626,189139652.98566186,17617548645.060646,1201116757.4186676,33466480569.671753,23697397819.423874
U4_10403,2.1140161359460845,0.03465600222862433,18197008586.099827,1819700858.6099825,41.256275,4.1256275,24787489570.549248,2300988165.1350646,3314408594.914172,344526012.1067027,29195653001.785095,2346169587.7202554,47392661587.88492,34402285907.817726
U4_12280,2.4347031626551257,0.030721806468834396,58884365535.55884,5888436553.555883,29.901707,2.9901706999999997,48330491943.916725,4065049945.7097282,6489242447.296879,611489249.649908,56961184398.82158,4145606899.0458074,115845549934.38042,81926461126.07248
U4_16101,0.7035520761346655,0.02605748430128391,6918309709.189363,691830970.9189363,106.15994,10.615994,12199783027.256777,1155181303.5546145,1676537318.549244,178357515.43946397,14429577660.92727,1179285815.8240566,21347887370.116634,16002366097.080616
U4_18696,2.548909325077399,0.04824434053774257,9120108393.559114,912010839.3559114,25.919014,2.5919014,12115763441.690372,1021510207.2426982,1756707795.841098,167547002.24879032,14452184810.159033,1045533194.4500785,23572293203.718147,17089237048.424921
U4_19575,3.3123918701810418,0.032003786185324075,18197008586.099827,1819700858.6099825,20.555786,2.0555786,20195000741.58809,1673222258.7882314,2834460228.233144,264548865.54005247,23964832845.13817,1709816113.9694242,42161841431.23799,30090602100.62278
