Names,Redshift,Re,Re_err,Rgas,Rgas_err,Mstar,Mstar_err,Mbar,Mbar_err,Mstar_Re,Mstar_Re_err,Mstar_Ropt,Mstar_Ropt_err,Mstar_Rout,Mstar_Rout_err,Mbar_Re,Mbar_Re_err,Mbar_Ropt,Mbar_Ropt_err,Mbar_Rout,Mbar_Rout_err,VRe,VRe_err,VRopt,VRopt_err,VRout,VRout_err,PSF
C-zcos_z1_354,0.838741878,2.0538583,0.6161575,8.798953582,3.660112712,3443735870,1586975055,21169552767,18057239584,1114699288,416323172.1,1754011262,858579190.1,2061489287,1080628936,1260401304,1115156069,2222688888,1759887203,3077017826,2089699684,78.5891094,23.97072439,79.43165451,21.43447968,90.13568228,18.94059513,5.791865168
C-zcos_z1_356,0.97047848,2.4829235,0.7448771,11.49419256,4.771130972,15453621506,7121484565,48664790723,36630536147,5002166697,1868232875,7871052596,3852838388,9250847447,4849277402,5297784178,5002850477,8820404562,7880039302,11303252872,9295170209,92.17966648,19.25072788,116.4749378,12.72942925,130.9241432,16.39189349,6.034167749
C-zcos_z1_460,0.896228624,5.50943,1.652829,29.67757731,12.61650074,16789212762,7736964407,45136599340,32946198429,5434482844,2029696421,8551314438,4185822975,10050359132,5268379984,5574736731,5434561534,9013058473,8552397474,11077635473,10056006574,165.7509258,34.79715119,194.8274833,29.67378461,236.5557096,33.83020777,6.751982371
C-zcos_z1_472,0.886578263,3.236356,0.97090685,9.493028876,4.003065249,7194991691,3315664374,28191867515,22195420694,2328939389,869823304.1,3664652846,1793828083,4307066178,2257756256,2634865677,2329625401,4615310301,3672643982,6289681235,4341576508,80.98768474,19.11895957,67.0262023,15.46442484,72.07895402,20.44751362,6.731056106
C-zcos_z1_493,0.88806746,4.303485,1.2910455,18.75219873,7.97864098,4102324861,1890472286,23798179284,20118542460,1327877274,495941900.6,2089452931,1022776106,2455733852,1287291221,1498600963,1328524495,2637415412,2097808999,3639951371,2495986999,59.40520413,17.9767875,47.16220817,14.16645113,56.05375554,17.04224682,4.79373146
C-zcos_z1_593,0.924073322,3.7753708,1.1326113,53.77386767,21.81662199,4797666775,2210906348,24332976943,20115813427,1552951776,580003778,2443614108,1196136113,2871979453,1505486405,1568462435,1552955325,2497184623,2443669171,2997962294,2872309336,179.1622611,27.26131501,169.4174138,16.48036915,183.3769968,18.68049786,6.555871829
C-zcos_z1_642,0.917786347,3.0503702,0.9151111,12.28764962,5.129806663,9484839655,4370893850,35781389117,27954797386,3070137898,1146649635,4830949934,2364724308,5677815047,2976300320,3342995656,3070921368,5698278301,4840889607,7531767812,5724872372,96.20673569,24.89831007,97.11465545,19.94900434,96.90802309,22.7080996,4.402241006
C-zcos_z1_644,0.913949658,4.3298044,1.2989414,13.98064438,6.058437313,11403293430,5254973931,37016090966,28036592138,3691120208,1378577036,5808083388,2843025933,6826239912,3578302544,4038074880,3691898343,6891276954,5817404035,9096470654,6867715405,163.1257397,24.06937636,158.0897819,22.8228276,158.0897819,22.8228276,4.397191783
C-zcos_z1_659,0.981667109,3.1556273,0.94668823,15.14215343,6.359054504,8974912159,4135904221,32872286467,25527113959,2905079997,1085003030,4571226597,2237591116,5372562231,2816287350,3061346826,2905282397,5079557009,4573922441,6488088867,5386081101,83.55443636,20.66463513,84.26293574,17.22225529,119.1204143,13.14665255,4.479011177
C-zcos_z1_660,0.92946134,5.4115973,1.6234792,50.10668823,20.66119514,15032457904,6927399956,42648087469,31441974921,4865840688,1817317247,7656539716,3747835501,8998730477,4717118155,4914811125,4865851704,7823025215,7656704221,9383100012,8999672907,98.1590527,24.27365134,118.6719391,13.74372742,156.8002384,34.34722928,4.417289398
C-zcos_z1_670,0.879092113,2.6539555,0.7961867,7.222839686,3.056960197,22337271401,10293673457,56587653635,40890614777,7230328184,2700417171,11377128525,5569043913,13371538189,7009335993,7951130533,7232688473,13555765614,11403613934,17776710065,13481079105,209.5711184,46.72140268,204.8964072,38.60612664,204.8964072,38.60612664,4.348880398
C-zcos_z1_673,0.916525121,5.733666,1.7200999,19.5870022,8.615894076,5164521033,2379963610,24247406274,19769390143,1671698450,624353846,2630465401,1287598826,3091585762,1620603632,1886178702,1672187537,3308271330,2636409644,4531677627,3118431296,55.9467394,18.88329327,113.1900339,26.7081098,113.1900339,26.7081098,4.40058691
C-zcos_z1_675,0.891498808,4.441016,1.332305,10.27311322,4.279883934,21529330140,9921350295,56105628753,40731222447,6968806516,2602742711,10965616689,5367611003,12887888363,6755807615,7973719518,6973900432,13915171250,11018830501,18665640927,13091128758,201.3454404,38.37943933,233.8097027,37.50039253,247.6719924,52.56408403,4.366588031
C-zcos_z1_685,0.867736865,3.475418,1.0426255,9.23138471,3.852583926,15171554725,6991499873,44483937445,33005936640,4910864794,1834132983,7727386436,3782514554,9081996621,4760766102,5523754072,4913097798,9579636963,7752216372,12827542729,9183631986,116.4770071,21.98566995,115.8171269,26.15998605,97.89028898,23.10763172,5.217233733
C-zcos_z1_690,0.925160286,3.250835,0.9752505,13.74893988,5.754476538,20942582871,9650959848,52818226887,38139853943,6778882901,2531809329,10666766441,5221325489,12536649692,6571688976,7051810229,6779181206,11542870709,10670637011,14430510796,12555509144,146.5626112,33.87391382,163.7557308,30.93042047,163.0016251,47.11906462,5.313143392
C-zcos_z1_692,0.926978416,4.1659923,1.2497977,10.34973009,4.301742093,24045293968,11080780630,60429433656,43611716119,7783196234,2906905023,12247082241,5994881669,14393994717,7545305859,8734927073,7787449324,15070864588,12292900514,19988951906,14574947355,109.5316025,20.31254042,159.9638713,22.36039791,183.5477691,15.57870392,4.41412857
C-zcos_z1_693,0.924618181,4.155385,1.2466156,11.4392461,4.85584181,6998903764,3225301274,29055072716,23139992280,2265467891,846117657,3564778626,1744940178,4189684016,2196224738,2670881986,2267212360,4802492096,3584363956,6720834361,4270479456,86.26605662,25.91599038,102.3590535,29.83894386,102.3590535,29.83894386,5.312304785
C-zcos_z1_698,0.926691073,3.0274315,0.90822953,11.76791943,4.931966579,16635284825,7666029873,45472110955,33291068509,5384658070,2011087542,8472913728,4147446202,9958214785,5220078070,5660041637,5384997190,9351459137,8477226454,11844384327,9978764650,140.6138029,34.19779208,130.6939912,26.35950507,122.4803614,41.01093039,5.31550483
C-zcos_z1_796,0.885444448,3.3286138,0.99858415,9.965737201,4.195655886,4064713663,1873139937,22001633105,18391709443,1315702945,491394971.9,2070296275,1013399023,2433219036,1275488994,1581095415,1316737729,2893826059,2082249206,4147885128,2484038081,74.30191693,10.1394284,73.64839058,6.050683837,73.64839058,6.050683837,4.307719145
C-zcos_z1_925,0.912870404,3.7296395,1.118892,10.71081206,4.466062127,15171554725,6991499873,44302268343,32844703510,4910864794,1834132949,7727386436,3782514537,9081996621,4760766096,5433955689,4912449517,9327849147,7745559684,12362184097,9158990712,142.9760298,24.02328897,143.4618468,18.54708516,156.4647035,26.48682051,6.952345092
E-zmus_z1_107,0.961693646,1.4222546,0.4266764,7.744304825,3.222178775,4335406613,1997883232,22637310561,18808387454,1403323264,524119814.8,2208169358,1080887160,2595261259,1360431231,1491238260,1403428878,2497946969,2209611607,3240830160,2602700070,78.59634348,15.16519947,82.77841085,14.02516027,88.75511178,14.99665827,7.473237234
E-zmus_z1_117,0.841633642,2.9573355,0.8872007,9.782663658,4.080399871,15596615395,7187380367,42802016937,31359022383,5048452241,1885519829,7943884225,3888489088,9336446454,4894148248,5373747568,5048869589,8967926142,7948994914,11502843210,9359835498,87.10792549,16.59341295,97.89895456,11.5800998,94.8455498,14.58760934,6.673878102
E-zmus_z1_119,0.841298299,4.19094,1.257282,13.51758768,5.642073967,27354567188,12605791331,61598396562,43828212332,8854371447,3306972632,13932607124,6819937148,16374991969,8583741019,9328268544,8855041509,15410053540,13940694694,19466614419,16411377025,184.6498221,24.25334601,172.2068354,23.72738027,182.4525978,29.60721644,4.368989723
E-zmus_z1_12,0.976393157,3.91059,1.173177,14.66064194,6.105387031,62665781971,28878240540,1.12748E+11,80220127243,20284221891,7575847371,31917804230,15623595556,37512992599,19664242518,20913721337,20284959524,33897121515,31927033131,41692018946,37556128564,191.9154724,26.4352818,215.7633356,21.82128094,225.7970362,35.54595128,3.653055014
E-zmus_z1_122,0.996927382,4.9662123,1.4898638,15.98178413,6.674842432,38817742712,17888360697,78014950851,55165553338,12564874828,4692788860,19771190489,9677892595,23237078502,12180834274,13132390326,12565625869,21535415031,19780236656,26916667791,23277676111,126.7272435,30.24996945,131.7946781,25.75258476,131.7946781,25.75258476,7.53860819
