KID,Name,File_names,Redshift,PSF,INC,Re,Re_err,Rgas,Rgas_err,SFR,SFR_err,Mstar,Mstar_err,Mgas,Mgas_err,Mbar,Mbar_err,VRe,VRe_err,VRopt,VRopt_err,VRout,VRout_err
KROSS,C-zcos_z1_1015,C-zcos_z1_1015,0.88859470099343,0.540224015712738,66.9199422387446,7.291261,2.1873784,30.843766821561378,12.911194393549334,9.852477811785189,0.4926238905892592,28643778433.9351,13199897895.822628,4845026166.701873,988220843.5604042,33488804600.63697,29050650965.65637,173.2119622114421,35.53785826217784,245.81892596577944,27.563253232369487,223.978376426574,54.96379243322696
KROSS,C-zcos_z1_1021,C-zcos_z1_1021,0.927272552624575,0.540224015712738,63.4272703969818,3.6876013,1.1062804,7.630954721330398,3.178042283530247,11.303667669088298,0.5651833834544149,7603789464.20346,3504050444.333392,3796824201.24029,774423107.0305493,11400613665.44375,8499028663.974225,121.02184434298192,19.93679074088449,87.59266848880303,21.275228054153622,87.59266848880303,21.275228054153622
KROSS,C-zcos_z1_156,C-zcos_z1_156,0.868009194274421,0.738352000713348,54.0195061237679,2.1255233,0.63765705,11.13990264523415,4.656607648749395,14.498310418154508,0.7249155209077254,6808171857.36773,3137406385.8837466,4101928170.477208,836653903.5787079,10910100027.844938,7948397244.426606,106.88027878522335,26.758625250917092,115.79159512063094,25.33229445489616,112.19786227284597,24.37199489922501
KROSS,C-zcos_z1_162,C-zcos_z1_162,0.960409965112534,0.738352000713348,42.0972853173802,5.1750646,1.5525194,10.042404263894296,4.170816691222226,26.738354870484056,1.3369177435242028,39176927126.7577,18053883468.551933,8833288674.761301,1801691041.4463289,48010215801.519,40160410952.914185,147.44857371198498,19.22522814565939,162.9437903154067,29.745730041868548,137.6765298386779,41.79899543164739
KROSS,C-zcos_z1_166,C-zcos_z1_166,0.923378805475575,0.738352000713348,48.7071265877895,2.7665849,0.8299755,10.87684774556804,4.650251471199052,13.902490784911638,0.6951245392455818,6745752739.6155,3108641815.4910145,4092337256.3035374,834697704.8856949,10838089995.919037,7890019280.290764,69.33785381411656,24.392081238438177,76.23306555810433,19.44092913380634,81.34499236882452,24.168524625538588
KROSS,C-zcos_z1_189,C-zcos_z1_189,0.937734238800976,0.544938027858734,50.4910501849683,4.3405485,1.3021647,15.457025161667763,6.664412474480214,24.72200856505924,1.2361004282529615,14758078399.7308,6800957787.894379,6670548653.583864,1360565380.743552,21428627053.314667,16195588825.122423,70.16975294967835,17.72617079810181,124.40150071877608,42.37038390504681,124.40150071877608,42.37038390504681
KROSS,C-zcos_z1_192,C-zcos_z1_192,0.914106107187718,0.544938027858734,33.4048098404057,3.5357754,1.0607326,8.64550955410579,3.5868583020469043,26.463765541882594,1.3231882770941297,9750575921.15481,4493352959.057516,6197141061.3832855,1264006226.5601766,15947716982.538095,11553280405.533606,93.42240969354243,19.1085198058537,115.78576340984355,24.91583434811718,133.7955730047916,33.293298866429005
KROSS,C-zcos_z1_197,C-zcos_z1_197,0.837415524117768,0.544938027858734,40.7686302913491,3.6033008,1.0809903,6.854073411594169,2.8603615673101084,6.302864241348513,0.3151432120674256,3990529604.81999,1838953734.940088,2314270010.891516,472032320.2206652,6304799615.711506,4613043703.48435,57.05467137341706,18.788922735765333,94.7339066584145,25.302795030807903,94.7339066584145,25.302795030807903
KROSS,C-zcos_z1_198,C-zcos_z1_198,0.95912955760026,0.544938027858734,68.625401228381,5.584179,1.6752537,25.15306573352951,10.845118817989103,16.37497244866071,0.8187486224330354,14224277280.6578,6554966488.782397,5391607095.631855,1099704739.3049667,19615884376.289658,15211820773.02732,90.95177169108834,17.170778588036125,76.13587961333076,16.263028747546443,76.13587961333076,16.263028747546443
KROSS,C-zcos_z1_2,C-zcos_z1_2,0.896927556077255,0.544938027858734,57.2959272451797,6.1939964,1.858199,9.013051298294908,3.7461479090287675,9.861761822695067,0.4930880911347534,17580451640.9271,8101590617.938757,4306254194.5571575,878329615.7063307,21886705835.48426,18100168648.02971,195.441490199318,39.620770229897,224.4377223917797,40.01265173009256,224.4377223917797,40.01265173009256
