KID,Names,File_names,Redshift,PSF,INC,Re,Re_err,Rgas,Rgas_err,SFR,SFR_err,Mstar,Mstar_err,MH2,MH2_err,MHI,MHI_err,VRe,VRe_err,VRopt,VRopt_err,VRout,VRout_err,Vmax,Vmax_err,VRe_int,VRe_int_err,VRopt_int,VRopt_int_err,VRout_int,VRout_int_err,Vmax_int,Vmax_int_err,Rot2disp_int,Fdm_Rout,Fdm_Rout_err
KROSS,U-HiZ_z1_44,U-HiZ_z1_44,0.833836328072314,0.465013980865479,52.7578490077348,3.4721093,1.3559021,54.22466652135413,21.246928544497997,9.577541179321395,0.4788770589660697,37759827560.1379,17400842193.611935,5053507809.73272,1030744116.929156,246214985416.47333,69893489508.98953,94.277490189733,31.06335828007637,192.3656280960056,40.72994937185916,247.4989943893569,49.93039337857024,295.1456116020686,73.29356305302943,82.64390113301442,32.55791219897105,174.19916250725757,44.049132072174,243.81762086789345,50.419108056314265,295.058,73.30177586525446,22.85,0.8444695329638141,0.0842352460429731
KROSS,U-HiZ_z1_84,U-HiZ_z1_84,0.840263631552284,0.526708006858826,53.0,2.1870446,0.0,8.829603781992747,3.6975750671892325,11.44925206729144,0.5724626033645719,1663528425.44136,766602961.0328848,2518955987.8747406,513781547.99817806,17227922507.842495,14408110816.104664,49.63878139049716,16.435000492650968,46.011512959217335,9.142797627283311,48.86920055402807,10.522650436645884,52.299917248717406,16.971628956306507,41.08452762513651,9.106466766370826,44.52961061269908,7.554274971399064,44.065409405368136,4.179857072664874,46.131097540156745,8.03445806323359,4.44,0.6048335127636413,0.1695272603027133
KROSS,U-HiZ_z1_96,U-HiZ_z1_96,0.839854634005702,0.501330018043518,36.4288122961295,1.748568,1.0491409,10.945101803612141,4.545648443843373,18.498107057839864,0.924905352891993,32887446455.0866,15155505278.841751,6836129627.62652,1394338479.6339753,171948458417.65945,56475681802.98901,281.844114520969,23.306159943851117,294.7784660379002,28.208353843206798,303.34740847651324,44.37704113082699,340.3396780384424,56.66433906635972,264.49590794779795,22.24565470536064,281.0739231119902,28.13286537831817,295.6598901951708,44.74290732700631,334.017,57.57238540307324,6.975,0.8165132017687784,0.0950253715042403
KROSS,U-zuds_z1_100,U-zuds_z1_100,0.824522973371728,0.695785999298096,47.3843318812965,2.1460745,0.0,8.257006476667248,3.4306369504191725,26.60505031602281,1.3302525158011402,6442137058.77326,2968726755.1950507,5415283549.32012,1104534091.985538,24499001589.85289,17758267927.741245,81.00339962439251,25.420572629263475,90.34087682560546,23.630113240431708,90.33144856754063,23.55899321531867,104.0369267559272,23.880910458293403,35.32165449044017,14.15571278678833,19.712857489375956,8.41775971812489,27.381109356891947,9.253686910454068,41.911,12.873586058282283,0.776,0.5979907930780516,0.1944550586246925
KROSS,U-zuds_z1_113,U-zuds_z1_113,0.916177526963381,1.15108001232147,53.0,2.3846338,0.0,6.773989571692611,2.8105039538759327,41.69446660039099,2.08472333001955,2660910828.30958,1226226188.1610968,5692236178.319004,1161023030.710214,18541682772.323727,15050721019.778984,76.28521264007469,26.018981798711387,80.0457082406997,22.092960426896678,84.85581306704613,19.29666891906079,103.6419165031178,20.837866784789178,19.340205230171023,8.662716603023613,28.97905428781709,4.08372762364231,39.91277295033614,0.2580474805108051,44.602,7.030055618556656,0.959,0.7301281274997211,0.1058834386232987
KROSS,U-zuds_z1_118,U-zuds_z1_118,1.0365498868048,0.465013980865479,39.9982610778265,3.3151658,1.9890995,7.082007527838893,2.967208536662646,8.692848817978481,0.434642440898924,15596615395.3587,7187380366.524747,4072539620.258861,830659892.6112548,48094087884.27312,26505481161.938534,225.9471148896888,46.09904263238042,160.5091207736113,40.45431375767792,160.5091207736113,40.45431375767792,241.6582872727745,70.60426332122931,218.2729987415079,47.16193649816618,155.70109964709525,41.03844710641858,155.70109964709525,41.03844710641858,241.571,70.61369734690288,9.325,0.812663237446982,0.0949465966180942
KROSS,U-zuds_z1_139,U-zuds_z1_139,0.899760924167897,0.61955201625824,38.7586024650272,1.9598911,0.76536196,8.584465496692472,3.5671860251494856,19.50554766780025,0.9752773833900128,10116490352.9127,4661977121.157927,5326302641.862738,1086385006.1754646,32116461601.788147,20855149945.403976,111.38657487313368,27.81010274666647,108.01387880865356,19.67353150526801,130.44193275064924,20.02966260652845,179.0391631448022,49.61570016873063,97.80369788077306,27.29225954963728,84.83797852717153,16.709202116818098,107.707724613978,19.490558626620174,178.45942304147465,49.89062605339805,4.94,0.701014834481963,0.1419504764011178
KROSS,U-zuds_z1_147,U-zuds_z1_147,0.882540584875186,0.69335800409317,40.7266622806233,3.6747413,1.4350324,57.832915531701325,23.373124118323396,9.995549976385549,0.4997774988192773,33191757252.13,15295740669.184334,5055186615.266083,1031086536.2925236,175847513635.91223,57232588405.74475,109.75855322359637,41.0226227673624,147.07055285876632,45.92223378646656,160.94138191868834,48.443705178502576,312.9910081708261,87.83672919916931,109.68702511431624,41.03938332609906,146.8935541215782,45.964037010812405,160.8129827879505,48.47230894971449,312.574,87.94287037617092,58.513,0.694381889474765,0.1789946750723879
KROSS,U-zuds_z1_188,U-zuds_z1_188,0.912776862051005,0.693185985088348,51.6923207647256,3.2073195,0.9621959,13.790129719434065,5.811105360299782,22.19791371789277,1.1098956858946387,9931856852.01049,4576892558.53018,5688804241.251127,1160323032.001283,31682498228.946926,20687369913.22227,91.65569703379322,19.941675074339766,102.79741935815431,19.161156436608263,112.88194687085938,19.334839971986757,121.78159559158284,27.215431242774088,77.22475124125498,17.194428471002304,90.28648603121852,17.85293234604719,111.02691826579628,19.24490655294538,121.585,27.23351057061869,9.964,0.757201807963162,0.1150626629329447
KROSS,U-zuds_z1_220,U-zuds_z1_220,0.914297739523649,1.15108001232147,53.0,5.226306,3.1357837,7.842286151579689,3.266961080175209,11.503102092583386,0.5751551046291693,1694456442.81258,780855503.6002674,2640661516.331194,538605346.0761471,17267227308.635403,14427619243.40975,78.68110801790874,21.062237193390967,69.08611225921713,20.48600114510056,64.25819853650937,21.914776059853487,81.78293056096607,22.05162700901638,46.881088230065565,13.507456435623473,43.68646381710734,16.66921874787962,61.99053414824761,21.628204593827405,64.789,22.051730113530773,2.809,0.8271163870525221,0.0777584934271459
