Name,log(Rgas_lerr),log(Rgas),log(Rgas_uerr),Re,Re_err,Mstar,Mstar_err,MH2,MH2_err,MHI,MHI_err,Mgas,Mgas_err,Mbar,Mbar_err,VRout,VRout_err,Rgas,Rgas_err
E-zmvvd_z1_58,0.021835967,0.853106069,0.022585783,1.2108119,0.36324358,7889154294,3635554974,9795602686,2699006392,1443201550,414069578,11715060747,2754617905,19604215041,14123788577,109.4665266,22.84746564,7.130271542,1.052473179
E-zmvvd_z1_73,0.016881315,1.126488796,0.017473102,4.6029487,1.3808848,53092153360,24466430120,48894980107,14952052299,6525956898,2069999049,57574502781,15203401613,1.10667E+11,78317304084,241.9147635,50.46037732,13.38100694,1.04034482
E-zmvvd_z1_77,0.0139128,0.961200816,0.01444917,3.148276,0.94448286,25646610096,11818714330,23664546708,6487959389,3287133286,936216655.3,28036433980,6606365170,53683044075,37997239896,73.40749284,23.39490034,9.145360212,1.033192078
E-zmvvd_z1_83,0.022751939,0.982163425,0.02375135,1.4549465,0.43648398,1892474267,872107957.3,3058719937,717763148.7,486297379.6,119216966.9,3705495452,735067858.4,5597969719,4160787833,77.09719791,22.01513897,9.597617219,1.054998717
S-CFHIZELS-SM14-104965,0.016419738,1.183027017,0.016792197,2.9492457,1.3595351,12735906827,5869081487,12554898092,3259616856,1811114322,489213632.6,14963680140,3323921305,27699586967,19649810331,157.6341984,27.99867374,15.24147567,1.038977177
S-CFHIZELS-SM14-107086,0.032001724,1.379332585,0.034162481,3.730886,1.7198534,22963093588,10582070778,17853795736,4294168245,2501847985,625327081.9,21181253556,4373966265,44144347145,31240185168,67.33574548,15.00334388,23.9514927,1.079154054
S-CFHIZELS-SM14-117442,0.013607853,1.124086125,0.013650028,2.0932713,0.9649504,10399923544,4792591495,10167579590,2509623013,1481659966,380642604.7,12138187345,2560176059,22538110889,15984179733,59.97181349,14.39297817,13.30718286,1.031879397
S-CFHIZELS-SM14-118544,0.015351394,1.012698409,0.015766314,2.9401493,1.3553419,7745157732,3569197112,8983581618,2375515659,1329448173,366128129.6,10751747688,2424911411,18496905420,13250945123,108.9339377,19.99011261,10.29670828,1.036475172
S-CFHIZELS-SM14-138499,0.011159067,1.065035077,0.011340394,2.1297607,0.98177123,10790225304,4972454057,13612673760,4065129030,1976798054,614341035.9,16241815173,4146430183,27032040477,19499372354,133.5412649,21.21794695,11.61542425,1.026241894
S-CFHIZELS-SM14-139428,0.021069354,1.261426332,0.021630971,3.7371938,1.7227613,3917692578,1805388285,5447378518,1411961397,835114993.2,225778699.1,6558081459,1443539563,10475774037,7639158825,86.72042487,19.08730111,18.25687039,1.050389213
S-CFHIZELS-SM14-145965,0.020756147,1.136577036,0.021377133,4.7825093,2.869506,10790225304,4972454057,12223017828,3482074244,1775559044,526400907.2,14584511357,3551760063,25374736661,18142131452,230.8115208,22.75719347,13.69547299,1.049703755
S-CFHIZELS-SM14-148830,0.023405355,1.252272394,0.02438142,2.1080093,0.9717443,12162705134,5604933242,13165586357,3638799925,1902209018,547020043.5,15695524351,3710818573,27858229485,19856507267,145.9126095,20.85725032,17.8760843,1.056558776
S-CFHIZELS-SM14-159913,0.024063865,1.157399311,0.025011144,2.9499652,1.7699791,2612342630,1203844530,4048242425,1045383573,633527413.6,170790985.6,4890833885,1069777945,7503176515,5544780438,141.6740094,15.86802987,14.36809898,1.058126918
S-CFHIZELS-SM14-164290,0.015808552,0.816957239,0.015956999,2.7790155,0,9840798965,4534930399,10736245106,#NAME?,1567362045,#NAME?,12820836626,inf,22661635591,16162152581,117.8295858,30.85154747,6.56080665,1.03724842
S-CFHIZELS-SM14-216212,0.027054434,1.136293902,0.028335576,2.7626717,0,2094258215,965095951.7,3092897665,#NAME?,490275564.2,#NAME?,3744964165,inf,5839222380,4290766140,50.03863413,19.58887908,13.68654728,1.065848497
S-CFHIZELS-SM14-228100,0.017604971,0.945555454,0.018150868,2.1381419,1.2828851,1945495622,896541761.2,3182155453,780305687.6,506147617.2,129665348,3855331784,799135572.4,5800827406,4318395116,59.2371377,15.50700986,8.821764384,1.04202468
S-CFHT-NBJ-2048,0.011845137,0.80451762,0.011763464,2.6084435,1.5650661,1358408841,625994857.8,2120217969,415833144.9,344145994.4,70580180.11,2577932141,426296949.4,3936340983,2913933545,53.03045805,18.89244988,6.375549473,1.027553169
S-NBJ-CFHT-1739,0.029470269,1.231561953,0.031282194,2.082567,0.960016,27103820906,12490240049,24322997759,6735420071,3382005944,972944565.2,28821065664,6858597644,55924886570,39563505074,221.4815075,42.53433373,17.04362434,1.072450304
S-NBJ-CFHT-1745,0.01940929,1.029370467,0.019955356,2.1171663,0.9759654,4977719809,2293880096,6523151604,1726447769,986313929.4,272117276.5,7834949130,1763974227,12812668939,9282463163,136.0871661,20.3093895,10.69967206,1.046363083
