Name,log(Rgas_lerr),log(Rgas),log(Rgas_uerr),log(SBgas_lerr),log(SBgas),log(SBgas_uerr)
S-CFHIZELS-SM14-216212,1.109239467984533,1.1362939019896017,1.164629477493909,0.11058719091591397,0.1258452318980528,0.1409098762622112
S-CFHIZELS-SM14-228100,0.927950483369135,0.9455554542336171,0.9637063219801346,0.08203887002804584,0.0920805372367301,0.1018527782095477
S-CFHT-NBJ-2048,0.792672482691761,0.8045176201554047,0.8162810846181902,0.0802164421545287,0.08446236214737092,0.08871195753516045
S-NBJ-CFHT-1739,1.202091684043258,1.2315619533016902,1.2628441471992324,0.012573160999079794,0.029851466525543782,0.04673834599011456
S-NBJ-CFHT-1745,1.0099611766125787,1.0293704670717545,1.0493258226740467,0.07893178514312729,0.09271254448624927,0.10632306960841514
S-NBJ-CFHT-1759,1.0111017776856503,1.0302670957121909,1.0496248041749807,0.14306506781312123,0.15728883396695048,0.17147684091276583
S-NBJ-CFHT-1770,1.0568308776592268,1.0787136637587942,1.1013422869387497,0.030657645170910033,0.043335161451009435,0.055870382517878445
S-NBJ-CFHT-1774,0.6531183240140584,0.6723008341307116,0.6920079056146649,0.17271411446403553,0.1960020683305787,0.219099475035671
S-NBJ-CFHT-1787,1.6671561719067158,1.7206579415947618,1.7556060995445062,-0.02440528688765933,-0.011047343273307565,0.0033955590024587388
S-NBJ-CFHT-1793,0.8594538324468117,0.8870583666385297,0.9155569941000079,0.08061364282755414,0.09507407072902607,0.10944133118506438
S-NBJ-CFHT-1795,0.9235144309960154,0.9383393853037725,0.9533039628863115,0.08210274223900453,0.0876517999950304,0.09334400245189554
S-NBJ-CFHT-C343,1.428171778197644,1.457789910765517,1.4893411132735854,0.024806717224484947,0.03146282282020348,0.038127016190749034
S-zvipe_z1_1056,1.0381264054068366,1.0616923644829357,1.0863037906707462,0.0656959566688443,0.0770344128953904,0.08823755116191968
S-zvipe_z1_1066,0.9938381167049299,1.0092700515122779,1.0250176224283536,0.08124781280499689,0.08795929479202264,0.09453141335554138
S-zvipe_z1_1069,1.0678009454579365,1.0850636449890334,1.1029537513929095,0.06596890570029176,0.07836585311058179,0.0906771646642023
S-zvipe_z1_1070,0.824470425047382,0.8368464295748369,0.8493080312796125,0.10393904844041406,0.11364570241037641,0.12323596145465676
S-zvipe_z1_1172,0.9792436200822207,0.9967212861941812,1.0145416019752889,0.13359559962618334,0.1463818003579504,0.15913583102747272
S-zvipe_z1_1304,1.1461372017007017,1.1585231367790554,1.1711761765425102,0.06962309616869196,0.07395287151918616,0.07830398453339997
S-zvipe_z1_1315,1.2844571918124246,1.3072244158961306,1.3308816132994226,0.057959186682450044,0.06419294569189932,0.07034488657510422
S-zvipe_z1_1318,1.1639523899398154,1.1891378798582783,1.2155773451006053,0.06109679014815374,0.06894463370056814,0.07679123204765946
S-zvipe_z1_1322,1.0573626450177247,1.070979847382612,1.084938218818885,0.10075982463425906,0.1078618246118661,0.11482844962711627
S-zvipe_z1_1530,0.9465882812146044,0.9585240295337538,0.9703750789515738,0.07165246870461695,0.07624352354214428,0.08084631764144751
S-zvipe_z1_1531,0.9925841479459495,1.0123269777397095,1.032605694482735,0.06659864702736128,0.07517054366804041,0.08366519836011423
S-zvipe_z1_1532,0.9372749801700389,0.9550417239590252,0.9735305567240242,0.04932401028074646,0.059132506277495625,0.06887654143870738
S-zvipe_z1_1538,1.0126171178782661,1.0303119286879645,1.0485106334943084,0.06349299309386301,0.07328076400993541,0.08276504944385532
S-zvipe_z1_1540,1.6115735610173962,1.6581134666321535,1.707410470931022,-0.023102764814051654,-0.01893895911745465,-0.014645692804115354
S-zvipe_z1_1542,1.000898993236621,1.0128867759246092,1.0250890146242284,0.05188089054272993,0.05427917896777665,0.05672033037074938
