Names,Re,Re_err,VRe,VRe_lerr,VRe_uerr,VRopt,VRopt_lerr,VRopt_uerr,VRout,VRout_lerr,VRout_uerr,Vdisp,Vdisp_lerr,Vdisp_uerr,Rot2disp_int,Rot2disp_pgc
E-zmus_z1_207,4.284553,1.2853659,66.54820248334427,18.79812453709365,18.79812453709365,109.70399705839591,25.32577819601609,25.32577819601609,113.17796789452353,35.76590351079988,35.76590351079988,12.038,14.029912366084115,14.029912366084115,11.103,11.14
E-zmus_z1_208,1.635211,0.49056333,81.38129056080807,17.058181165088875,17.058181165088875,108.29018577188114,19.3186422718268,19.3186422718268,95.09138039181185,19.68410375003658,19.68410375003658,44.910929271169614,14.009632471981556,14.009632471981556,1.608,2.414
E-zmus_z1_21,3.1547704,0.9464311,106.38204997265038,24.315138807541995,24.315138807541995,111.27273487571998,25.396862605910602,25.396862605910602,141.5967962809692,40.561108257365156,40.561108257365156,19.22445385440117,13.692423068982349,13.692423068982349,7.489,7.524
E-zmus_z1_219,3.3533795,1.0060139,161.60339723909607,16.744805326545308,16.744805326545308,166.50038054677972,25.609658962450673,25.609658962450673,174.3555999493377,40.90876320622521,40.90876320622521,33.13750045643153,15.769675567366628,15.769675567366628,5.057,5.328
E-zmus_z1_24,3.9,1.1700001,159.0437352414636,25.589514353158396,25.589514353158396,139.37044474472566,20.54820954284617,20.54820954284617,139.67576854212876,28.19104890332127,28.19104890332127,58.177,14.094952323438344,14.094952323438344,2.293,2.755
E-zmus_z1_35,3.724687,1.1174061,157.17342148878512,23.87749698134653,23.87749698134653,195.84010648451383,19.687730862834513,19.687730862834513,219.69364593779792,24.715480873584397,24.715480873584397,23.590392663116056,14.045119686211294,14.045119686211294,11.436,11.448
E-zmus_z1_55,3.5452166,1.063565,108.11179467403333,19.883961562262478,19.883961562262478,124.75045413119142,14.881894966123186,14.881894966123186,136.69341146295764,16.82951098966889,16.82951098966889,24.615599220819306,13.631644985107261,13.631644985107261,5.964,6.16
E-zmus_z1_70,2.591769,0.7775307,36.432957769092525,15.87630634923618,15.87630634923618,71.03375646964165,19.62618893516239,19.62618893516239,68.50273116669294,18.216427801601355,18.216427801601355,18.929,13.62145282266176,13.62145282266176,3.145,4.232
E-zmus_z1_86,2.1174657,0.6352398,98.82743851600179,19.486979107728683,19.486979107728683,95.94680132383303,21.883174540643978,21.883174540643978,104.54870867635582,22.94803841696492,22.94803841696492,34.147,14.855258799495887,14.855258799495887,2.834,3.2
E-zmus_z1_97,2.8215117,0.8464536,119.57922102958271,18.54370511456789,18.54370511456789,132.54345874405942,24.419509510621744,24.419509510621744,117.71785453436458,23.800850066168575,23.800850066168575,57.20135026815363,14.597614993552884,14.597614993552884,1.927,2.335
E-zmvvd_z1_19,4.895118,1.4685354,82.47845221881748,19.58235278441249,19.58235278441249,96.56680940393574,15.929288101023362,15.929288101023362,96.56680940393574,15.929288101023362,15.929288101023362,31.101772843360553,12.990879300493866,12.990879300493866,3.225,3.291
E-zmvvd_z1_58,1.2108119,0.36324358,107.11601588806228,23.65664810009722,23.65664810009722,108.10037791582457,23.317773448525237,23.317773448525237,109.46652656663346,22.847465640034486,22.847465640034486,42.83886247322634,14.149175205643614,14.149175205643614,2.1,2.58
E-zmvvd_z1_73,4.6029487,1.3808848,206.24911565767587,30.019019699582024,30.019019699582024,207.79604692855858,41.46817612027052,41.46817612027052,241.91476345121922,50.460377324009016,50.460377324009016,84.593,18.306994564919716,18.306994564919716,2.78,2.955
E-zmvvd_z1_77,3.148276,0.94448286,70.40127887228152,18.759183355520957,18.759183355520957,78.5141861271132,16.593251558595234,16.593251558595234,73.40749283611126,23.394900344625665,23.394900344625665,9.451,13.932832016499733,13.932832016499733,9.07,9.313
E-zmvvd_z1_83,1.4549465,0.43648398,76.30529015519924,23.700986528818408,23.700986528818408,76.63057259336426,23.00851117377717,23.00851117377717,77.09719791291553,22.015138965765235,22.015138965765235,41.85042824751021,14.916313954861636,14.916313954861636,1.161,1.852
S-CFHIZELS-SM14-104965,2.9492457,1.3595351,139.53656275121295,17.276804971634302,17.276804971634302,148.4387625325505,36.00543554816028,36.00543554816028,157.63419841540787,27.998673739030703,27.998673739030703,8.604194616580916,13.65238678766464,13.65238678766464,17.834,18.594
S-CFHIZELS-SM14-107086,3.730886,1.7198534,72.28865879331997,19.366442873474337,19.366442873474337,70.25569664450586,19.756076907357848,19.756076907357848,67.3357454829465,15.003343884256394,15.003343884256394,32.398,14.308310766823594,14.308310766823594,1.985,2.288
S-CFHIZELS-SM14-117442,2.0932713,0.9649504,55.17092761862841,17.63922644566881,17.63922644566881,57.01129076312496,15.128639053259413,15.128639053259413,59.97181349064532,14.392978167847984,14.392978167847984,21.372,14.050937762298998,14.050937762298998,3.572,3.626
S-CFHIZELS-SM14-118544,2.9401493,1.3553419,122.24244638445239,20.40634501568311,20.40634501568311,106.34560565127923,19.188286932072057,19.188286932072057,108.9339377120676,19.990112613539853,19.990112613539853,46.626222841873,14.006899888983286,14.006899888983286,2.355,2.634
S-CFHIZELS-SM14-138499,2.1297607,0.98177123,105.3777095733754,19.78389194542459,19.78389194542459,121.32207120691757,21.989734569230595,21.989734569230595,133.54126486384246,21.217946950438424,21.217946950438424,56.94569491190708,14.825683205167985,14.825683205167985,2.752,2.768
S-CFHIZELS-SM14-139428,3.7371938,1.7227613,83.51613084452197,20.097900537990697,20.097900537990697,92.22230851248617,19.688677677603646,19.688677677603646,86.72042487030379,19.08730111359047,19.08730111359047,42.115,14.014802638638907,14.014802638638907,1.101,2.192
S-CFHIZELS-SM14-145965,4.7825093,2.869506,160.3161665945132,23.531743332239724,23.531743332239724,208.40753202299112,39.48265132394429,39.48265132394429,230.8115207841643,22.7571934746736,22.7571934746736,51.731,14.586203070024768,14.586203070024768,4.559,4.615
S-CFHIZELS-SM14-148830,2.1080093,0.9717443,110.84751291141959,24.248993551881608,24.248993551881608,139.95384259684988,24.15112529568284,24.15112529568284,145.91260951992012,20.857250315361913,20.857250315361913,39.946,14.511355622408265,14.511355622408265,4.893,4.898
S-CFHIZELS-SM14-159913,2.9499652,1.7699791,91.64445493241533,17.65986470505537,17.65986470505537,106.99786776869396,26.511459429198794,26.511459429198794,141.67400938780057,15.868029870512167,15.868029870512167,31.207,14.279832281928243,14.279832281928243,5.884,5.89
S-CFHIZELS-SM14-164290,2.7790155,0.0,100.51807300768145,21.851880521751223,21.851880521751223,108.78578667435119,17.959677803531033,17.959677803531033,117.82958582565685,30.851547473929248,30.851547473929248,51.45338770188023,13.951935546726125,13.951935546726125,2.275,2.318
S-CFHIZELS-SM14-216212,2.7626717,0.0,35.27819636904483,16.08811637734889,16.08811637734889,37.91440642676933,17.9454156368927,17.9454156368927,50.038634131533996,19.588879082734667,19.588879082734667,18.00452012690147,14.321337594652253,14.321337594652253,1.712,3.518
S-CFHIZELS-SM14-228100,2.1381419,1.2828851,68.45185000516899,19.20895801229447,19.20895801229447,65.52803838135662,19.485463677377485,19.485463677377485,59.23713769629163,15.507009856912026,15.507009856912026,12.781,13.793418901780662,13.793418901780662,3.965,5.436
